#{"t_start": 1734332524.8439288, "env_id": "CartPole-v1"}
r,l,t
47.0,47,484.719983
307.0,307,486.136725
91.0,91,486.24704
93.0,93,486.357175
196.0,196,487.677505
500.0,500,490.526419
391.0,391,493.155022
15.0,15,493.186267
18.0,18,493.202084
23.0,23,493.233734
21.0,21,493.265317
18.0,18,493.281289
12.0,12,493.296924
24.0,24,493.33123
25.0,25,493.360736
21.0,21,493.377269
24.0,24,493.423594
500.0,500,496.144509
310.0,310,498.651881
27.0,27,498.683707
13.0,13,498.699336
26.0,26,498.71681
24.0,24,498.746683
29.0,29,498.794239
26.0,26,498.809996
25.0,25,498.857494
32.0,32,498.888754
23.0,23,500.004041
403.0,403,501.591148
283.0,283,502.974139
364.0,364,505.584825
24.0,24,505.61607
43.0,43,505.663431
32.0,32,505.710444
16.0,16,505.726271
27.0,27,505.758685
23.0,23,505.773691
26.0,26,505.804947
21.0,21,505.836458
92.0,92,507.029804
90.0,90,507.139915
97.0,97,508.334509
311.0,311,509.810728
94.0,94,509.921233
11.0,11,509.936867
94.0,94,511.149668
286.0,286,512.580884
89.0,89,512.675884
97.0,97,512.785925
27.0,27,512.817187
89.0,89,514.028044
88.0,88,514.1382
93.0,93,515.333297
21.0,21,515.364934
99.0,99,515.474619
99.0,99,515.600218
27.0,27,515.631476
93.0,93,516.795513
88.0,88,517.314894
28.0,28,517.34666
